FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_5937	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	humilis
OTU_5938	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU_5939	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	gracilis
OTU_5940	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5941	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	NA	NA
OTU_5942	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_5943	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5944	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	NA
OTU_5945	Fungi	Ascomycota	Sordariomycetes	Cephalothecales	Cephalothecaceae	Cephalothecaceae_gen_Incertae_sedis	NA
OTU_5946	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	NA
OTU_5947	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_5948	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Stilbella	NA
OTU_5949	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_5950	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
OTU_5951	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	NA
OTU_5952	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	calyciformis
OTU_5953	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	lanatum
OTU_5954	Fungi	NA	NA	NA	NA	NA	NA
OTU_5955	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5956	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Tyrannosorus	NA
OTU_5957	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5958	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5959	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5960	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5961	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5962	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	asterophora
OTU_5963	Fungi	NA	NA	NA	NA	NA	NA
OTU_5964	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	NA
OTU_5965	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	humilis
OTU_5966	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	gracillima
OTU_5967	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	croceus
OTU_5968	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5969	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	ericae
OTU_5970	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_5971	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_5972	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	longigemmata
OTU_5973	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	lapida
OTU_5974	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5975	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	candida
OTU_5976	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5977	Fungi	NA	NA	NA	NA	NA	NA
OTU_5978	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Leotiomycetes_fam_Incertae_sedis	Gorgomyces	hungaricus
OTU_5979	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	asterophora
OTU_5980	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU_5981	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU_5982	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_5983	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_5984	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
OTU_5985	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	leporina
OTU_5986	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_5987	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Polyphilus	NA
