FeatureID	Barcode001	Barcode002	Barcode003	Barcode004	Barcode005	Barcode006	Barcode007	Barcode008	Barcode009	Barcode010	Barcode011	Barcode012	Barcode013	Barcode014	Barcode015	Barcode016	Barcode017	Barcode018	Barcode019	Barcode020	Barcode021	Barcode022	Barcode023	Barcode024
OTU_1	24477	32591	184	15942	35736	45665	40	24696	2369	6	1	467	4	6	227	22	77	31	47	2	107	6	11	2
OTU_2	8	7750	63	4588	21	9016	4052	9259	19694	3223	3359	10595	11558	6289	9856	2625	3238	3128	6190	13383	7803	2196	15486	1
OTU_3	604	9962	323	8394	201	12327	3294	15991	26723	6486	5346	14080	14237	9118	6217	1896	10099	2804	10239	5886	5917	1948	7078	0
OTU_4	20	19593	22	6429	44516	10998	3	1570	4968	5	3	6917	3	4	3	1	2253	43	1	1	6	1	1302	0
OTU_5	1	24	59	2	8	10	265	0	11	4560	910	8	7919	11641	1447	316	5	11986	45362	3598	3231	11726	2	0
OTU_6	5	86	11	11	47	18	11733	0	15	30	15	15	21018	9034	8191	0	2	8679	6	5621	11893	3	3	0
OTU_7	0	1	1	8	14	12	3378	0	5	28	51	15	11487	12951	15554	52	1	1050	51	13376	13032	4975	3	0
OTU_8	0	125	3	0	11	2	1591	0	14	2056	17188	0	7371	3018	1010	0	0	15525	20670	167	13528	2410	0	0
OTU_9	0	67	33	1	2	104	1561	16	6	3947	4118	6	2341	15366	5339	18790	36	4429	6390	924	1341	1929	34	1
OTU_10	16	3241	2	334	0	1046	7	0	2057	162	247	30793	6	30	15	14	4704	29	21	34	3	2	16074	0
OTU_11	65	3308	1	3651	15	924	12	2	4603	2	3	4893	0	0	16	480	27673	12	5	4	1	7	24440	0
OTU_12	3	520	89	13669	17603	11	6	1	0	1	2	0	0	0	2	1343	1	13	1	0	4	1	22239	0
OTU_13	1	23	19	0	5	134	3	0	6	9155	10111	3	803	1956	2126	2171	2	4207	3614	8	4328	5958	0	1
OTU_14	0	3	0	1	0	24	9	0	1	2364	1623	9	3	8721	7	9	2	9	246	884	20	37906	59	0
OTU_15	0	0	50	0	1	0	1	0	4	8052	19147	0	2	33	1085	0	0	2	5798	1	253	717	0	0
OTU_16	86	29817	0	451	7	255	16	3	32985	4	2	2071	0	2	11	3	19213	8	10	9	1	4	23687	0
OTU_17	45755	4	3	282	2	4	1	3	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
OTU_18	0	74	1	4	16	4	198	0	3	1550	19	9	6088	4263	2326	41	1	5317	968	3159	6582	3576	1	1
OTU_19	64	2713	21	2231	1	10851	7	271	11303	436	2844	1875	3	2	5	104	1117	20	148	5	0	19	3896	0
OTU_20	28787	76	28	6	10900	49	8	2432	6	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0
OTU_21	0	8	2	1	6	3	5286	0	3	14936	1349	3	3819	6815	7209	0	0	7205	5262	3558	7396	5082	1	0
OTU_22	0	37	0	1	14	45	1492	3	1	65	24	7	18062	16400	5606	56	16	42	7	1587	3683	59	25	0
OTU_23	29	6	5	2	11	89	54	2	2233	99	1050	6	1513	1697	2734	9427	12148	2093	7035	4617	80	4367	3016	3
OTU_24	0	0	0	20	7	0	104	0	3	0	1	29	1423	14	3766	0	1	32	161	18136	4575	6	4	0
OTU_25	4908	1	23479	2	2256	25	0	417	0	4	3	0	0	0	0	1642	6	6	80	0	3	19	6	0
OTU_26	0	10	0	0	12	2	484	0	0	1349	767	0	6949	3281	375	917	0	2254	3745	153	10896	1160	1	0
OTU_27	13	3	5	0	4	18180	0	0	15668	0	0	0	0	2	0	0	8	0	90	0	0	1	0	0
OTU_28	4943	1165	13946	590	6101	3753	42	16792	1622	1	4	4228	0	2	0	8	5114	0	0	0	0	3	902	1
OTU_29	382	208	8681	49	204	1238	24	17028	1668	1	3	400	32	55	2	131	181	0	19	18	14	1	247	0
OTU_30	2	0	2	10	2	359	345	11	289	290	752	303	947	2682	1296	5757	2345	8	210	4935	117	1221	1144	3
OTU_31	95	58	37	2	4	1	2460	19	88	2091	2844	0	226	323	67	4276	4	1007	9353	71	335	1072	8	2
OTU_32	7	3624	24	107	30593	3	0	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0
OTU_33	30	45	41	75	1	8582	1532	1039	10529	2383	2669	1743	144	478	34	529	158	184	1868	132	22	909	281	0
