FeatureID	Barcode001	Barcode002	Barcode003	Barcode004	Barcode005	Barcode006	Barcode007	Barcode008	Barcode009	Barcode010	Barcode011	Barcode012	Barcode013	Barcode014	Barcode015	Barcode016	Barcode017	Barcode018	Barcode019	Barcode020	Barcode021	Barcode022	Barcode023	Barcode024
OTU_34	1258	6418	0	1926	1052	1466	23	10461	1685	16	20	2241	0	1	0	18	1618	10	27	0	0	0	1376	0
OTU_35	0	61	30	0	2	13	262	2	37	13612	2422	0	3739	3807	783	483	0	4434	6503	314	2541	4696	122	0
OTU_36	142	1798	182	1994	100	298	1	1422	103	5	0	2512	0	1	0	63	11175	2	3	1	0	26	1465	0
OTU_37	0	0	3	12	0	12	28	4	6	5	99	14	826	10164	80	5238	3	0	889	7192	1	1	0	1
OTU_38	0	0	0	0	2	0	7796	1	0	0	0	0	99	258	4980	1	0	0	0	0	14267	1	0	0
OTU_39	0	292	0	12767	937	0	1	69	8	406	1826	1329	0	0	2	0	111	66	102	0	0	0	3327	0
OTU_40	0	0	0	0	2	0	18	9	4	5	8	2	7	6	2393	22802	5	0	0	2	1177	0	4	0
OTU_41	0	56	107	1	11	3	20588	0	0	6621	8754	0	2870	43	467	0	0	5579	6954	55	980	5814	1	0
OTU_42	1364	89	6525	109	270	580	12	9378	422	1	0	355	0	0	1	51	246	0	0	0	0	0	1508	0
OTU_43	0	0	0	0	13	2	1	0	1	0	0	2	82	1809	6	0	4	1	4	168	14655	8	0	0
OTU_44	0	57	3	0	12	0	10	0	0	17	2	1	5573	1125	357	266	0	2071	190	54	7988	13	0	0
OTU_45	8	959	276	570	19	791	7	2666	217	116	11	5867	0	1	5	13	3540	15	2	2	0	109	5254	0
OTU_46	0	0	20	0	2	24	14	1	71	768	180	37	1441	3373	4004	1631	3	3	966	9	479	710	31	1
OTU_47	21	2722	63	0	0	0	2	0	11305	14	5324	0	1	1	6	6028	4	1	1626	2	0	1	5204	0
OTU_48	19	92	11	275	1	3257	1111	10	3735	1999	3005	2759	1336	872	32	825	958	1472	1599	350	4	1001	783	1
OTU_49	9	7144	0	0	7	1794	0	102	6	0	0	94	0	0	1	12	5480	1	0	1	0	0	747	0
OTU_50	1	6	2	5	7	2	7456	0	0	326	13	2	1797	492	611	0	0	2565	404	2787	4534	1603	1	0
OTU_51	0	5	0	0	1	2	73	0	0	1780	392	5	1521	17	677	21	1	145	639	2899	814	5009	0	0
OTU_52	0	9	0	0	9	1	89	0	0	10416	7	1	12	108	95	12	8	23	10	76	43	2837	5	0
OTU_53	6	1	0	136	5	926	1391	8	3985	1052	927	1229	905	1131	99	219	2	753	1085	1322	300	495	178	0
OTU_54	0	1	23	19	0	0	0	1	1	4940	1387	0	1	0	0	0	0	25	3420	1	0	2060	0	0
OTU_55	2	1	4	971	16852	0	0	976	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0
OTU_56	0	1	15	0	0	0	0	0	0	1724	12052	0	0	1	0	0	0	0	4920	0	0	249	0	0
OTU_57	0	7	1	0	2	2	248	0	2	4970	277	0	716	767	437	0	1	2913	375	777	948	784	0	0
OTU_58	8	4093	0	402	395	826	1	2	4857	0	0	1565	0	0	1	0	758	0	0	0	0	0	637	0
OTU_59	0	1	1	3	5	1	17	0	1	2	1	4	2525	419	8455	0	1	332	110	1469	1124	1	1	0
OTU_60	5	268	4	0	0	0	0	0	3966	5948	3843	1043	0	1	0	0	6	0	735	1	2	1621	0	0
OTU_61	0	0	16	0	0	0	4	0	0	11	19	0	0	0	0	0	5	1	19276	0	0	1	4	0
OTU_62	93	0	15403	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_63	95	5	57	0	11	11	57	1	0	6	3	3	3276	34	55	8	6	2761	11	14	9718	72	0	0
OTU_64	80	2780	3	776	0	6689	2	0	6784	6083	1534	10138	65	46	17	731	4283	7	2467	300	10	3586	8413	0
OTU_65	2	212	1	852	19	984	76	468	129	4	2	1464	178	257	2678	572	37	11	2	1259	849	2	2963	0
OTU_66	0	1	1	3	1	3	9922	0	0	1	0	0	4276	555	2	0	0	0	0	0	2461	0	0	0
OTU_67	1	242	5	604	2	515	2051	2	891	759	507	650	829	1140	1522	506	67	162	619	1971	450	1251	510	0
OTU_68	0	0	0	1	2	0	659	0	0	1088	145	0	1221	20	9280	0	0	0	0	0	341	794	0	0
OTU_69	9	415	1	63	1	2064	47	4	46	11	118	649	17	21	19	2220	4148	5	103	1214	1172	4	1141	0
OTU_70	47	6822	29	1015	4350	3047	5	1118	3138	2	1	1970	1	0	2	0	6676	12	13	0	2	0	2821	0
OTU_71	1454	0	9601	0	28	0	1	644	28	2	5	5	8	0	6	331	20	7	9	0	17	1	6	0
OTU_72	2	53	27	2202	5	169	77	0	1210	1300	2586	2386	3060	1698	6275	526	724	90	6612	2643	1974	2850	3231	0
OTU_73	268	1780	7	1473	4	1771	2	2477	3284	59	231	778	0	0	1	37	308	4	16	2	0	1	698	0
OTU_74	0	0	0	1	6	0	38	1	3	0	0	1	992	102	2060	1012	377	0	8	2400	2883	1	13	1
OTU_75	1	1	1	0	1	1	1933	0	0	35	5	1	2745	2738	82	0	0	2013	54	338	199	696	0	0
OTU_76	0	212	0	0	0	831	30	7	37	1254	946	147	571	223	743	562	0	1369	583	45	220	969	90	0
OTU_77	230	1616	2	2	40	161	16	11584	251	0	0	137	0	0	0	0	122	0	0	0	0	0	43	0
OTU_78	6	2	9588	40	47	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_79	6	1	2	2	3	2710	547	4836	3860	186	249	0	313	138	2242	920	0	9	257	18	1066	105	22	0
OTU_80	0	0	0	0	1	0	0	0	0	3	11	0	2421	1950	1462	0	0	35	529	6	466	2638	0	0
OTU_81	0	0	0	1	0	0	0	2	6	51	3	2833	2	9	2	10571	39	0	0	0	0	0	21	0
OTU_82	0	0	0	1	1	0	44	0	1	0	4	2	538	593	7366	0	0	1	1	1252	1588	0	0	0
OTU_83	1	0	0	0	11	1	14	0	1	0	1	2	10113	125	0	1	0	0	0	87	5	0	0	0
OTU_84	0	0	1	16	0	5	59	0	0	1	18	14	145	17	5	1270	1	4	29	13131	5	3705	4	0
OTU_85	1046	488	146	822	3507	9	9	2764	2	0	0	518	0	0	0	0	25	0	0	0	1	0	1	0
OTU_86	19	3	25	0	0	11	397	5	3	9	259	8	13	4338	5549	3	2	1746	831	2	1259	13143	3	0
OTU_87	41	2410	71	4	612	5713	0	9	3156	1	0	2293	0	0	0	21	4	1	0	0	0	1	56	0
OTU_88	0	1	1	0	0	1	6	0	0	602	6	0	1273	1	2408	0	0	406	1513	9	1267	3786	0	0
OTU_89	1	9	7	0	0	205	148	0	495	3296	1734	7	152	600	101	673	0	1024	3953	260	54	1411	219	0
OTU_90	71	1	5	633	0	196	855	29	183	1680	1589	30	48	341	242	1381	146	44	1137	2228	136	1105	119	1
OTU_91	10	2	17	92	12	0	840	0	0	4745	1074	0	2384	892	951	0	1	2335	2706	200	1257	514	0	0
OTU_92	17093	26	0	614	27	479	0	2	24	3	0	13	0	0	0	3	62	0	0	0	0	0	580	0
OTU_93	4	0	2	1	1	3	12357	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0
OTU_94	34	10	0	0	0	1	322	0	0	1783	291	3	28	351	278	107	0	1644	562	353	212	1702	0	0
OTU_95	0	0	1	0	0	4	63	0	0	7	7	4	2	10	3199	3	0	1	68	1	386	5588	1	0
OTU_96	3	8148	1	161	2853	3132	0	216	28	1	0	4278	1	1	2	0	167	6	1	0	0	0	729	0
OTU_97	1	1	0	0	0	0	695	0	0	1	0	0	1550	705	441	0	0	4031	0	459	262	1008	0	0
OTU_98	1385	520	2944	218	5331	1556	2	1209	968	2	0	574	0	0	0	129	481	6	1	0	1	0	344	0
OTU_99	0	3	1	0	7	2	15	1	12	1184	357	3	4047	3091	646	744	1	847	206	107	1571	68	1	0
OTU_100	0	0	2	0	0	1	2	0	2	126	2972	2	2312	538	8201	0	0	0	27	5	13	14	1	0
OTU_101	1	2640	0	0	0	4363	1	0	17	0	0	1378	0	0	0	0	0	0	0	0	0	0	312	0
OTU_102	7	0	0	0	0	50	0	0	32	0	1	5	0	0	2	213	7230	0	0	7	0	0	372	0
OTU_103	0	3	20	3	2	2	2325	0	0	260	290	2	464	1323	669	12	1	715	729	2143	497	969	0	0
OTU_104	0	0	0	0	0	0	0	1	36	1	1	0	328	231	58	8665	0	0	1	5	853	0	46	0
OTU_105	0	52	0	0	0	0	0	0	1	1699	349	0	0	0	0	0	0	2435	1502	0	1	2109	0	0
OTU_106	0	0	0	0	1	0	3	0	0	0	0	0	810	153	3067	0	2	0	0	7	2699	0	0	0
OTU_107	1	0	6750	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_108	5	0	21	4	0	0	45	0	2915	0	0	4823	22	91	0	17	2	3	0	4	22	0	4	0
OTU_109	0	0	2	0	0	0	0	0	0	3134	1746	0	0	0	0	0	0	1842	359	0	0	167	0	0
OTU_110	12	221	0	0	0	78	0	4	45	64	3	826	0	0	3	15	5328	0	0	5	0	6	477	0
OTU_111	64	1092	4621	137	161	1038	215	74	1463	22	12	411	33	33	15	13	502	623	55	147	44	12	294	0
OTU_112	6	412	3	332	1289	710	8	5220	391	1	0	122	0	0	0	2	329	0	0	1	0	0	351	0
OTU_113	41	8	28	1	0	0	14	0	0	6452	5061	1	0	0	0	0	0	0	113	384	146	501	0	0
OTU_114	16	0	0	0	0	6	3	0	1	0	2	7	6	7486	3	3	0	0	0	3	0	0	0	0
OTU_115	0	0	0	0	5	1	30	0	0	144	143	0	315	267	235	100	1	1562	3	82	2358	3529	0	0
OTU_116	2	0	1	3	0	1127	1	1	343	0	288	3571	0	0	0	534	372	0	66	0	0	0	1928	0
OTU_117	4248	20	6998	1	468	645	0	789	220	0	0	48	0	0	0	126	55	0	1	0	0	0	41	0
OTU_118	10	1013	1	108	12	2220	0	80	1800	239	242	568	0	2	5	506	155	59	102	0	0	12	456	0
OTU_119	0	36	1	107	404	2	18	6	6	1	1	58	547	3303	73	856	497	0	0	67	142	40	557	0
OTU_120	84	926	0	576	3236	37	1	1312	211	0	0	544	0	0	0	1	225	0	0	0	0	0	319	0
OTU_121	0	61	10	4	2	327	4	3	931	465	236	892	41	775	71	136	1844	697	295	112	4	543	12	0
OTU_122	1	1	2	0	1	8880	0	0	1	0	1	634	0	1	0	0	13	0	0	0	0	0	2	0
OTU_123	0	12	0	1	1	3	1098	2	0	11	0	0	212	737	224	0	0	4601	32	167	117	524	2	0
OTU_124	4	63	2	1	1	2495	120	0	1385	767	395	547	89	164	70	389	0	7	87	240	212	21	6	0
OTU_125	0	0	0	915	719	65	0	2	0	2	1	254	0	2	0	4997	6	1	0	0	0	0	24	0
OTU_126	0	0	16	0	0	1	262	0	0	996	774	2	1756	69	2661	0	0	699	861	3020	472	297	1	0
OTU_127	0	3	2	0	0	1	191	1	0	219	180	0	261	606	549	954	0	210	531	618	98	588	1	0
OTU_128	2	313	15	332	5	288	533	179	184	605	910	347	536	448	976	435	567	1368	3302	1194	649	1551	285	0
OTU_129	0	1	0	0	0	3603	6	0	0	298	0	0	91	5	6	1346	48	31	5	7	4	0	4	0
OTU_130	0	0	0	1	0	0	107	0	5	936	91	0	501	361	28	223	39	72	636	852	15	751	0	0
OTU_131	8	1496	2	1	0	1424	0	0	4401	1	2	0	0	0	2	1	1	2	72	0	0	0	29	0
OTU_132	3	43	1	4478	2	0	1	248	57	0	0	0	0	0	0	0	244	0	0	1	0	0	0	0
OTU_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4934	0	0	0	0	0	0	6	0
OTU_134	0	0	22	0	0	0	6	1	0	1	14	10	2	0	7	1	19	12	0	3	2	4	9718	0
OTU_135	0	0	0	9	0	0	44	0	0	0	0	9	1	1	499	0	0	1	0	6184	107	0	0	0
OTU_136	1086	3	9120	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_137	0	0	0	0	0	0	7	0	0	415	11	0	713	322	104	0	0	226	4	33	2932	96	0	0
OTU_138	8	294	27	3792	0	324	0	0	329	0	0	26	0	0	0	0	2982	6	0	0	0	0	0	0
OTU_139	2	345	4	6	2	6163	0	0	0	0	0	1066	0	2	0	487	5	1	0	0	0	0	502	0
OTU_140	0	0	0	0	0	0	0	10	291	3	0	3	1	2	0	4972	3	0	0	0	0	0	13	0
OTU_141	1	0	1	131	241	428	6	2594	1220	0	0	708	0	0	0	4	85	0	0	1	0	0	83	0
OTU_142	0	0	0	1	3	0	6	0	0	0	0	0	3133	3	1057	0	0	0	0	1191	1348	0	0	0
OTU_143	1	198	0	146	0	281	1	115	4670	0	0	533	0	0	0	0	193	0	0	1	0	0	959	0
OTU_144	0	712	0	305	83	299	11	42	343	0	0	341	1	0	5	192	554	0	0	1	0	0	2304	0
OTU_145	1	1	6	0	0	2136	123	6	1800	567	1788	16	21	610	34	30	1	212	1103	105	157	177	44	0
OTU_146	0	0	0	0	0	0	0	0	0	0	0	0	1688	1461	12	0	0	0	0	13	1066	0	0	0
OTU_147	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	8455	0	7	2	0	0	0	6	1
OTU_148	0	0	4	2	1	0	14	0	0	297	395	6	269	52	229	66	0	283	732	858	1768	118	1	0
OTU_149	2	236	0	306	1	468	0	51	1431	1	0	1164	0	0	2	55	707	1	1	1	0	0	822	0
OTU_150	5	0	6	0	0	359	0	1	3604	1	0	7	0	1	1	96	119	1	1	0	0	0	38	0
OTU_151	2381	0	1643	0	0	0	0	22	0	0	0	0	0	4	0	111	3	0	0	0	0	0	9	0
OTU_152	10	743	0	805	0	162	1	118	2891	0	0	15	0	0	0	55	287	3	0	0	0	0	300	0
OTU_153	0	2	1	1	0	0	25	0	1	898	0	2	472	511	471	0	0	72	706	91	399	0	0	0
OTU_154	0	0	1	0	4	0	21	0	0	0	5	0	2822	4	0	4	2	0	1795	15	1	0	7	0
OTU_155	0	0	0	0	0	0	7	0	0	177	360	0	7	0	0	9	0	5	3632	0	713	36	0	0
OTU_156	6	0	0	0	0	0	0	0	1433	0	0	0	0	0	0	430	2941	0	0	0	0	0	7	0
OTU_157	44	608	6	378	40	144	116	3897	418	598	541	229	698	751	385	48	8	515	33	410	615	7	226	0
OTU_158	0	0	1	0	0	1	1584	0	1	1	0	0	0	1340	1334	0	0	0	0	941	1	0	1	0
OTU_159	0	0	0	0	0	0	17	0	0	0	0	0	1759	2	1964	0	0	0	0	146	714	0	0	0
OTU_160	7	0	4	0	2	859	4	221	2238	17	0	13	4	4	6	218	1272	0	3	3	0	7	26	0
OTU_161	0	900	1	899	40	2037	0	30	46	12	511	909	0	1	1	63	118	9	0	0	0	0	414	0
OTU_162	1	0	30	4	14	0	46	1	0	10	0	6	12	2365	3	7	10	3	2	3036	1	16	5	0
OTU_163	1	209	0	187	0	623	0	0	670	0	0	844	0	0	0	0	0	0	7	1	0	0	709	0
OTU_164	0	62	7	1	0	1	0	0	0	1534	723	1	131	217	63	518	0	1276	1784	683	21	815	0	0
OTU_165	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3225	0	0	0	0	0	0	1	0
OTU_166	0	0	1	1	1	0	2800	0	0	81	0	2	530	466	1552	0	0	0	0	28	1898	17	1	0
OTU_167	1	1599	0	1	0	431	1	0	0	4	0	8	0	0	0	1	520	4	8	0	2	0	5083	0
OTU_168	0	3	1	0	4	2	12	0	0	4	0	1	1829	1229	75	0	0	1392	416	0	16	0	0	0
OTU_169	3	22	1	813	0	543	0	0	754	2	2	1237	1	17	0	242	266	0	1418	0	0	15	1192	0
OTU_170	0	2	3319	0	16	0	2	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_171	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	3155	0	13	0	0	0	0	10	0
OTU_172	0	1	11	0	1	0	91	0	4	498	1509	0	6	11	44	271	1	1	2211	0	150	203	0	0
OTU_173	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3964	0
OTU_174	0	0	0	0	0	0	97	0	0	158	15	0	13	35	190	3680	0	0	180	36	24	158	3	0
OTU_175	0	0	0	2	2	0	17	0	0	0	0	0	33	319	2683	0	0	0	0	725	894	0	0	0
OTU_176	1	915	1	141	36	438	2016	0	524	176	1277	699	574	688	593	319	3	1460	0	115	70	591	117	0
OTU_177	0	0	0	0	3	0	78	0	0	0	0	3	2289	1024	0	0	0	0	0	154	2159	0	0	0
OTU_178	0	0	0	100	1	19	423	5	1	216	165	4	1716	447	246	10	0	307	17	423	551	299	2	0
OTU_179	0	0	5145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_180	1011	0	3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_181	57	0	2192	1	0	19	1	16	16	117	2506	3	6	1	6	8	3	5	2	9	3	303	101	0
OTU_182	604	1	4243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_183	0	0	0	0	1	5	6	0	1	1	5	1	1447	1954	83	0	0	0	23	0	632	0	0	0
OTU_184	0	1	0	0	0	14	0	0	0	3172	72	0	0	1	0	1794	0	0	1	2	0	1	0	0
OTU_185	7	421	0	0	1	0	975	0	5088	1	0	512	334	18	55	1	4	210	0	137	16	2	0	0
OTU_186	0	0	0	0	0	0	0	1	316	0	0	0	0	0	0	4381	0	0	0	0	0	0	0	1
OTU_187	0	0	0	0	1	0	25	0	0	1	1	0	1363	739	238	21	0	0	0	383	16	0	0	0
OTU_188	0	0	0	0	0	0	17	0	0	0	1	0	379	1579	1007	0	0	0	0	32	0	0	0	0
OTU_189	0	2	0	20	0	0	209	0	0	1254	117	0	127	346	52	0	0	999	687	57	115	602	0	0
OTU_190	789	0	2050	0	15	0	2	791	3	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0
OTU_191	0	0	0	0	1	0	9	0	0	0	0	0	511	177	448	0	0	0	0	2	2074	13	0	0
OTU_192	0	4	140	0	19	9	6	2926	104	0	2	41	3	0	5	0	76	0	7	0	8	2	24	0
OTU_193	0	0	3983	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	2621	0
OTU_195	0	1352	110	266	148	714	0	39	33	0	0	287	0	0	0	0	597	1	0	0	0	0	448	0
OTU_196	6	0	0	4	0	24	0	0	3109	3	0	4145	0	0	0	1	2	0	0	0	0	0	0	0
OTU_197	5	0	0	1	9	1295	0	0	2130	33	0	312	5	7	75	539	1	8	0	0	5	2	899	1
OTU_198	0	0	0	0	1	1	0	0	0	0	1	0	361	183	80	0	0	1139	0	76	2562	0	0	0
OTU_199	0	0	0	0	0	2	636	0	0	3	0	1	284	962	398	0	0	1316	0	616	252	4	0	0
OTU_200	0	0	4	0	26	4	0	0	1	5	2126	0	0	2	0	0	1	1	75	1	3	4290	0	0
OTU_201	1	0	0	0	0	0	0	0	0	742	3	0	0	1	374	0	0	706	21	13	24	2640	0	0
OTU_202	64	379	2	0	0	13	3	0	4060	1	1781	771	0	3	4	0	1	1	877	0	5	188	4845	0
OTU_203	1067	12	11	0	29	102	5	3718	20	0	0	36	0	0	0	0	40	0	0	0	0	0	18	0
OTU_204	0	0	22	0	0	1	0	1	2	3	4	2	0	0	2	5913	0	0	1	0	0	0	1	1
OTU_205	0	0	0	0	0	1	0	0	0	946	1714	0	0	1	4	0	0	0	1041	31	71	237	0	0
OTU_206	2133	54	215	0	2047	52	0	62	1	0	0	8	1	0	0	0	40	0	0	0	0	0	0	0
OTU_207	0	2	0	0	1	1	1668	0	0	913	56	1	324	154	1847	10	0	145	1	376	381	341	0	0
OTU_208	0	0	14	0	0	28	4	1	54	1	0	0	0	1	7	2761	77	5	1	0	1	0	7189	1
OTU_209	0	0	0	0	0	4	0	0	0	0	1366	0	0	4	0	0	0	0	112	0	3	3537	0	0
OTU_210	0	0	0	0	0	0	58	0	0	0	0	0	578	1533	279	3	0	448	15	155	219	43	0	0
OTU_211	146	0	969	0	12	34	1	2484	37	0	7	5	0	0	0	24	41	0	0	0	3	1	74	0
OTU_212	0	0	4	0	1	1	979	0	0	1	0	1	446	309	293	0	0	0	0	357	240	0	1	0
OTU_213	0	0	0	0	0	8	27	0	0	1	176	1	376	28	713	254	0	2	3	1343	1204	0	174	0
OTU_214	109	96	0	82	1	164	2	2517	103	0	0	545	0	0	3	0	106	2	6	0	3	0	86	0
OTU_215	298	3631	1	0	0	109	21	466	0	0	45	2	11	1	2	0	2	0	0	1	25	2	0	0
OTU_216	0	0	0	0	0	0	0	0	0	0	1	0	334	335	1451	0	0	0	0	98	701	0	0	0
OTU_217	0	0	0	0	2	0	107	0	15	1	6	1	618	635	333	0	0	2	10	854	318	1	1	0
OTU_218	0	0	0	0	0	0	0	2	2	1	1	1	3	1	3	4195	0	4	0	0	0	0	0	0
OTU_219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3281	0	2	5	0	0	0	2	0
OTU_220	0	0	845	0	1778	0	0	1507	2	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0
OTU_221	10	0	0	0	0	0	0	0	4398	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
OTU_222	1	1	0	0	0	2	2913	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0
OTU_223	0	0	0	0	0	0	0	0	1	1342	2025	0	0	1	0	0	0	0	9	0	0	10	0	0
OTU_224	0	270	0	0	0	2578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
OTU_225	0	0	0	61	0	0	50	1	17	2	32	3	1122	443	1341	141	0	26	621	1376	215	8	5	0
OTU_226	0	2	0	0	3	0	226	0	0	3	0	1	66	86	573	1	0	432	0	44	1138	101	0	0
OTU_227	0	0	0	0	0	0	505	0	0	329	2	0	179	754	877	2291	0	104	523	2	124	29	0	0
OTU_228	0	0	25	0	0	0	1	3433	4	0	0	28	0	0	0	0	0	0	0	0	0	0	8	0
OTU_229	0	1	0	0	0	0	34	0	0	866	17	0	185	306	36	86	0	581	180	13	192	133	0	0
OTU_230	0	0	0	248	1	1149	21	0	170	6	18	99	233	108	1294	18	3	0	0	1752	492	1	183	0
OTU_231	0	0	0	0	0	0	36	0	0	0	0	1	1247	49	469	0	0	0	0	415	18	0	0	0
OTU_232	0	0	0	0	1	2	9	0	1	2	10	1	28	953	1007	0	0	0	0	172	376	152	0	0
OTU_233	210	19	3179	0	289	11	0	128	0	0	0	7	1	0	0	16	29	8	0	0	322	8	39	0
OTU_234	0	0	4	0	0	0	0	0	3	2	2219	0	0	0	0	45	0	0	413	0	0	413	0	0
OTU_235	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3413	0	0	0	0	0	4	0	2	0
OTU_236	323	1	0	0	541	143	1	1641	41	0	0	0	0	0	0	23	25	0	0	0	0	0	7	0
OTU_237	213	491	203	100	16	111	3	1065	166	0	0	173	0	0	0	0	31	0	0	0	0	0	49	0
OTU_238	0	0	0	0	0	0	0	0	16	285	1	0	45	18	250	0	0	0	2613	11	640	0	33	0
OTU_239	0	2	0	0	0	0	0	0	0	2352	121	0	0	0	17	0	0	3	0	10	0	0	0	0
